table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0301ST,00,000,INDIA,Total,Total,Population_Persons,104545716,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Total,5-14,Population_Persons,25482001,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Total,15-34,Population_Persons,35488246,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Total,35-59,Population_Persons,24557215,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Total,60+,Population_Persons,7194383,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Total,Age not stated,Population_Persons,277545,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Total,15-59,Population_Persons,60045461,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Rural,Total,Population_Persons,94083844,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Rural,5-14,Population_Persons,23223708,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Rural,15-34,Population_Persons,31415433,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Rural,35-59,Population_Persons,21958796,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Rural,60+,Population_Persons,6617772,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Rural,Age not stated,Population_Persons,242957,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Rural,15-59,Population_Persons,53374229,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Urban,Total,Population_Persons,10461872,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Urban,5-14,Population_Persons,2258293,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Urban,15-34,Population_Persons,4072813,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Urban,35-59,Population_Persons,2598419,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Urban,60+,Population_Persons,576611,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Urban,Age not stated,Population_Persons,34588,DDW-0000B-01ST-Census.xls,01ST
B0301ST,00,000,INDIA,Urban,15-59,Population_Persons,6671232,DDW-0000B-01ST-Census.xls,01ST
B0301ST,01,000,State - JAMMU & KASHMIR (01),Total,Total,Population_Persons,1493299,DDW-0000B-01ST-Census.xls,01ST
B0301ST,01,000,State - JAMMU & KASHMIR (01),Total,5-14,Population_Persons,409834,DDW-0000B-01ST-Census.xls,01ST
B0301ST,01,000,State - JAMMU & KASHMIR (01),Total,15-34,Population_Persons,476210,DDW-0000B-01ST-Census.xls,01ST
B0301ST,01,000,State - JAMMU & KASHMIR (01),Total,35-59,Population_Persons,296288,DDW-0000B-01ST-Census.xls,01ST
B0301ST,01,000,State - JAMMU & KASHMIR (01),Total,60+,Population_Persons,98025,DDW-0000B-01ST-Census.xls,01ST
B0301ST,01,000,State - JAMMU & KASHMIR (01),Total,Age not stated,Population_Persons,1519,DDW-0000B-01ST-Census.xls,01ST
B0301ST,01,000,State - JAMMU & KASHMIR (01),Total,15-59,Population_Persons,772498,DDW-0000B-01ST-Census.xls,01ST
