table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0203SC,14,000,State - MANIPUR,Total,Total,Population_Persons,97328.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Total,Illiterate,Population_Persons,32840.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Total,Literate,Population_Persons,64488.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Total,Literate but below matric/secondary,Population_Persons,34599.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Total,Matric/secondary but below graduate,Population_Persons,18205.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Total,Technical diploma or certificate not equal to degree,Population_Persons,260.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Total,Graduate and above other than technical degree,Population_Persons,7638.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,691.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Rural,Total,Population_Persons,47849.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Rural,Illiterate,Population_Persons,17763.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Rural,Literate,Population_Persons,30086.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Rural,Literate but below matric/secondary,Population_Persons,17490.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Rural,Matric/secondary but below graduate,Population_Persons,8154.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Rural,Technical diploma or certificate not equal to degree,Population_Persons,91.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Rural,Graduate and above other than technical degree,Population_Persons,2825.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,160.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Urban,Total,Population_Persons,49479.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Urban,Illiterate,Population_Persons,15077.0,DDW-1400B-03SC.xlsx,03SC
B0203SC,14,000,State - MANIPUR,Urban,Literate,Population_Persons,34402.0,DDW-1400B-03SC.xlsx,03SC
