table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0303ST,30,000,State - GOA,Total,Total,Population_Persons,149275.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Total,Illiterate,Population_Persons,42941.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Total,Literate,Population_Persons,106334.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Total,Literate but below matric/secondary,Population_Persons,62423.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Total,Matric/secondary but below graduate,Population_Persons,26006.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Total,Technical diploma or certificate not equal to degree,Population_Persons,2127.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Total,Graduate and above other than technical degree,Population_Persons,3433.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,557.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Rural,Total,Population_Persons,87639.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Rural,Illiterate,Population_Persons,25947.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Rural,Literate,Population_Persons,61692.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Rural,Literate but below matric/secondary,Population_Persons,37885.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Rural,Matric/secondary but below graduate,Population_Persons,13510.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Rural,Technical diploma or certificate not equal to degree,Population_Persons,1059.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Rural,Graduate and above other than technical degree,Population_Persons,1815.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,298.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Urban,Total,Population_Persons,61636.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Urban,Illiterate,Population_Persons,16994.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Urban,Literate,Population_Persons,44642.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Urban,Literate but below matric/secondary,Population_Persons,24538.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Urban,Matric/secondary but below graduate,Population_Persons,12496.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Urban,Technical diploma or certificate not equal to degree,Population_Persons,1068.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Urban,Graduate and above other than technical degree,Population_Persons,1618.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,000,State - GOA,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,259.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Total,Total,Population_Persons,56606.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Total,Illiterate,Population_Persons,13701.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Total,Literate,Population_Persons,42905.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Total,Literate but below matric/secondary,Population_Persons,23996.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Total,Matric/secondary but below graduate,Population_Persons,11390.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Total,Technical diploma or certificate not equal to degree,Population_Persons,1197.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Total,Graduate and above other than technical degree,Population_Persons,1814.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,261.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Rural,Total,Population_Persons,27694.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Rural,Illiterate,Population_Persons,6720.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Rural,Literate,Population_Persons,20974.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Rural,Literate but below matric/secondary,Population_Persons,11873.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Rural,Matric/secondary but below graduate,Population_Persons,5438.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Rural,Technical diploma or certificate not equal to degree,Population_Persons,555.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Rural,Graduate and above other than technical degree,Population_Persons,836.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,131.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Urban,Total,Population_Persons,28912.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Urban,Illiterate,Population_Persons,6981.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Urban,Literate,Population_Persons,21931.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Urban,Literate but below matric/secondary,Population_Persons,12123.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Urban,Matric/secondary but below graduate,Population_Persons,5952.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Urban,Technical diploma or certificate not equal to degree,Population_Persons,642.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Urban,Graduate and above other than technical degree,Population_Persons,978.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,585,District - North Goa,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,130.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Total,Total,Population_Persons,92669.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Total,Illiterate,Population_Persons,29240.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Total,Literate,Population_Persons,63429.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Total,Literate but below matric/secondary,Population_Persons,38427.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Total,Matric/secondary but below graduate,Population_Persons,14616.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Total,Technical diploma or certificate not equal to degree,Population_Persons,930.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Total,Graduate and above other than technical degree,Population_Persons,1619.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,296.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Rural,Total,Population_Persons,59945.0,DDW-3000B-03ST.xlsx,03ST
B0303ST,30,586,District - South Goa,Rural,Illiterate,Population_Persons,19227.0,DDW-3000B-03ST.xlsx,03ST
