table_name,state_code,district_code,area_name,total_rural_urban,educational_level,metric,value,source_file,dataset_code
B0303ST,05,000,State - UTTARAKHAND,Total,Total,Population_Persons,291903.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Total,Illiterate,Population_Persons,101766.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Total,Literate,Population_Persons,190137.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Total,Literate but below matric/secondary,Population_Persons,124574.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Total,Matric/secondary but below graduate,Population_Persons,41153.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Total,Technical diploma or certificate not equal to degree,Population_Persons,604.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Total,Graduate and above other than technical degree,Population_Persons,17098.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Total,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,1770.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Rural,Total,Population_Persons,264819.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Rural,Illiterate,Population_Persons,96017.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Rural,Literate,Population_Persons,168802.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Rural,Literate but below matric/secondary,Population_Persons,115082.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Rural,Matric/secondary but below graduate,Population_Persons,35297.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Rural,Technical diploma or certificate not equal to degree,Population_Persons,438.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Rural,Graduate and above other than technical degree,Population_Persons,12422.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Rural,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,1019.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Urban,Total,Population_Persons,27084.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Urban,Illiterate,Population_Persons,5749.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Urban,Literate,Population_Persons,21335.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Urban,Literate but below matric/secondary,Population_Persons,9492.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Urban,Matric/secondary but below graduate,Population_Persons,5856.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Urban,Technical diploma or certificate not equal to degree,Population_Persons,166.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Urban,Graduate and above other than technical degree,Population_Persons,4676.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,000,State - UTTARAKHAND,Urban,Technical degree or diploma equal to degree or post-graduate degree,Population_Persons,751.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,056,District - Uttarkashi,Total,Total,Population_Persons,3512.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,056,District - Uttarkashi,Total,Illiterate,Population_Persons,1057.0,DDW-0500B-03ST.xlsx,03ST
B0303ST,05,056,District - Uttarkashi,Total,Literate,Population_Persons,2455.0,DDW-0500B-03ST.xlsx,03ST
