table_name,state_code,district_code,area_name,total_rural_urban,age_group,metric,value,source_file,dataset_code
B0201SC,06,000,State - HARYANA (06),Total,Total,Population_Persons,5113615,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Total,5-14,Population_Persons,1153552,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Total,15-34,Population_Persons,1915419,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Total,35-59,Population_Persons,1136981,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Total,60+,Population_Persons,369156,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Total,Age not stated,Population_Persons,6638,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Total,15-59,Population_Persons,3052400,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Rural,Total,Population_Persons,3720109,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Rural,5-14,Population_Persons,847455,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Rural,15-34,Population_Persons,1373361,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Rural,35-59,Population_Persons,814059,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Rural,60+,Population_Persons,286711,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Rural,Age not stated,Population_Persons,4806,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Rural,15-59,Population_Persons,2187420,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Urban,Total,Population_Persons,1393506,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Urban,5-14,Population_Persons,306097,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Urban,15-34,Population_Persons,542058,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Urban,35-59,Population_Persons,322922,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Urban,60+,Population_Persons,82445,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Urban,Age not stated,Population_Persons,1832,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,000,State - HARYANA (06),Urban,15-59,Population_Persons,864980,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Total,Total,Population_Persons,101830,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Total,5-14,Population_Persons,22229,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Total,15-34,Population_Persons,38744,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Total,35-59,Population_Persons,24542,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Total,60+,Population_Persons,6338,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Total,Age not stated,Population_Persons,261,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Total,15-59,Population_Persons,63286,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Rural,Total,Population_Persons,51484,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Rural,5-14,Population_Persons,11204,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Rural,15-34,Population_Persons,19238,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Rural,35-59,Population_Persons,12052,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Rural,60+,Population_Persons,3866,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Rural,Age not stated,Population_Persons,160,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Rural,15-59,Population_Persons,31290,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Urban,Total,Population_Persons,50346,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Urban,5-14,Population_Persons,11025,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Urban,15-34,Population_Persons,19506,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Urban,35-59,Population_Persons,12490,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Urban,60+,Population_Persons,2472,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Urban,Age not stated,Population_Persons,101,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,069,District - Panchkula (01),Urban,15-59,Population_Persons,31996,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Total,Total,Population_Persons,296246,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Total,5-14,Population_Persons,58563,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Total,15-34,Population_Persons,113108,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Total,35-59,Population_Persons,73670,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Total,60+,Population_Persons,24197,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Total,Age not stated,Population_Persons,207,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Total,15-59,Population_Persons,186778,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Rural,Total,Population_Persons,208224,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Rural,5-14,Population_Persons,41922,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Rural,15-34,Population_Persons,78449,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Rural,35-59,Population_Persons,50614,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Rural,60+,Population_Persons,17924,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Rural,Age not stated,Population_Persons,143,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Rural,15-59,Population_Persons,129063,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Urban,Total,Population_Persons,88022,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Urban,5-14,Population_Persons,16641,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Urban,15-34,Population_Persons,34659,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Urban,35-59,Population_Persons,23056,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Urban,60+,Population_Persons,6273,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Urban,Age not stated,Population_Persons,64,DDW-0600B-01SC-Census.xls,01SC
B0201SC,06,070,District - Ambala (02),Urban,15-59,Population_Persons,57715,DDW-0600B-01SC-Census.xls,01SC
