year,state_ut,category,metric,value,unit,source_report,source_page,notes
1991,Andhra Pradesh,ST,Total Population 1991,66508008.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Andhra Pradesh,ST,Total Population 2001,76210007.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Andhra Pradesh,ST,Decadal Growth Total Population (%),14.59,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Andhra Pradesh,ST,ST Population 1991,4199481.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Andhra Pradesh,ST,ST Population 2001,5024104.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Andhra Pradesh,ST,Decadal Growth ST Population (%),19.64,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Andhra Pradesh,ST,ST Population as % of State Population (2001),6.6,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Andhra Pradesh,ST,State's Share of India's Total ST Population (%),5.96,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Arunachal Pradesh,ST,Total Population 1991,864558.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Arunachal Pradesh,ST,Total Population 2001,1097968.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
